review,rating,sentiment
saya tidak bisa mengunggah npwp hal ini saya perlukan supaya saya bisa membuat sid untuk membeli reksadana jika masih tidak bisa upload npwp saya akan beli di aplikasi lain mohon segera perbaiki,1,negative
pihak line bank semalm saya tranfer dari line bank ke shopee pay later ribu duit nya ke potong tp duit nya blum masuk juga sampai skrang ke shopee pay later saya pada waktu pngiriman tertulis pihak line bank memberitahukan tertulis mohon maaf terdapat gangguan dari line bank saya tunggu jam ni sampai saaat ini blum masuk juga duit ke akun shopi pay saya,1,negative
ribet banget mau login aja repot tadi gagal login gara gara lupa password ganti password berhasil ganti lupa pin transaksi mau reset pin transaksi panjang langkah langkah nya endingnya suruh call hana bank berbayar lagi ribet lah,1,negative
aplikasi gak berguna daftar saja tidak bisa selalu gagal bukan karena masalah signal karena aplikasi lainnya berjalan dengan baik tapi enggak dengan aplikasi yang satu ini bahkan satu bintang pun gak pantas untuk diberi,1,negative
makin lama makin pelit tadi aku mau tf tulisannya gratis adm dan tulisan dicoret eh setelah berhasil tranfer tiba tiba kena biaya adm buset mahal banget di bank lain kena biaya adm aja mikir mikir makanya biasanya selalu tf di line bank tapi sekarang biaya adm line bank malah semahal itu mulai sekarang stop gamau lagi make ni bank buruk,1,negative
saya sengaja memberikan bintang lima supaya kebaca mau ngajuin pinjaman aja harus masukin nomor hp berkalikali dan karena pinjaman saya di tolak maka saya hapus apl ini dan tidak meliki hutang sama sekali kepada apl ini dan tolong jangan salah gunakan data saya,5,positive
tgl kemaren saya ngajukan kartu debit dgn biaya rb sampai sekarang sdh hari kartunya blm datang cek diaplikasi statusnya masih dlm pencetakan dari tgl nyetaknya padahal sebelumnya saya ngajukan kartu debit binadigital dan bank aladin syariah tanpa dipungut biaya alias gratis dan salut buat kedua bank digital tsb meski bikin kartu debit nya gratis tapi mereka satset hari setelah pengajuan kartunya sdh sampai rumah di banjarmasin nggak kayak line bank sdh bayar lelet pula,1,negative
sorry saya kasih bintang linebank sekarang pelit ga kaya dulu pas kenal linebank kasih pinjaman sekarang selalu di tolak padahal saya ga pernah tolak pembayaran selalu tepat waktu terimakasih,1,negative
baru kali ini kecewa sama line bank penanganan kasus sangat lama ada kesalahan sistem dari line bank saldo terpotong x untuk kode qris yang tidak berhasil saya udah hubungi namun disuruh menunggu hari kerja yang menurutku ini sangat lama gak worth it,1,negative
yeeeay sekarang kuota transfer line bank x per bulan belum ada aplikasi bank digital lainnya yang memberikan kuota sebanyak ini paling besar hanya xbulannya satu lagi saja yang harus di berikan oleh line bank yaitu bunga tabungan cair harian seperti bank digital lainnya trims,5,positive
saya kasih bintang full kak kenapa setelah di perbarui kenapa saya belum bisa transfer ya dan belum muncul lanjut jadi tidak bisa transfer tolong penjelasannya terimakasih 🙏,5,positive
disini saya mau muji kalo udah dibuat gratis kali tf antar bank kali free topup ewallet topup ewallet ini sediki sekali saya rasa bisa lah ditingkatkan dan kali bisa yah entah promo kartu debit dengan bioskop cnpls atau mtx atau cg dan adain kembali dong ezcard nya gitu saja sih selebihnya udah oke,5,positive
ini kenapa yah mau daftar dah di tahap ko no handphone ny berubah sendiri jadi no gak di kenal tapi kalau mau login no ny sesuai sama pas awal tolonglah di benerin lagi,1,negative
terlalu sering masalah gak bisa transfer buka aplikasi malah mohon cek koneksi jaringan kelamaan bank lain gak ada yang sampe gini,1,negative
ketika ingin log in disuruh memasukan data verifikasi ketika sampai tahap masukan nama ibu kandung dan pin malah gagal tertulis tidak dapat menemukan info pengguna padahal itu nama dan pin sudah sesuai,1,negative
ini line bank stress x ya masa barusan aq coba top up saldo keshopee pay q gk bisa malah tulisan nomor salahtidak terdaftar padahal biasanya gk kyk gitu udah sering top up keshopee pay q amanja,5,positive
tidak bisa login di dalam masih ada saldo tolong balikan dana sayaaa bagaimana bisa tidak bisa login disaat ada saldo didalamnya,1,negative
apaan sih ribett gak jelas bner nih apk mau masuk lupa kata sandi dsuruh msukin nomor katanya no tidak terdaftar ngapa jadi ribet sih luh w udah make apk ini tauanan juga malah baru kali ini ngeribedin gini atur kata sandi,1,negative
sejauh ini sih masih okecuma buuat top up ewalet aja tolong jangan cuma x gratisnya tdk sperti sbelumnya🙏,5,positive
sayang bgt sekarang ada biaya adminnya padahal dulu ngg ada makannya ganti bank ini ternyata sekarang sama saja seperti bank lainnya 😭😭😮‍💨 setiap tf ada adminnya and susah sekali dari dulu mau tf ke dana shoppypay,1,negative
saya suka make line bank dan tolong tingkatkan fitur nya contoh bisa buat bayar kartu kreditcicilan finansialdan va account,5,positive
topup ewallet cuma dapet kuota x gratis giliran transfer bank x per bulan bayangin aja siapa orang yg bisa transfer sampe x sebulan,1,negative
ahhh suka banget tampilan setelah diupdate hihi❤️❤️❤️ aku pake dari taun sampe sekarang masih nyaman,5,positive
saya beberapakali masuk tp tidak bisa katanya verifikasi melalui nomor handphone n email tapi tetap tidak bisa mohon bantuannya,1,negative
sekarang kuota topup ewallet dibatasi hanya x sebulan padahal tadinya bebas terus untuk kuota tf free bifast kadang error nggak bisa dipilih jadi kalau urgent nggak bisa dipakai harus pakai biaya tf tf line bank makin di update malah makin syulit deh dipakai dan menjadi tidak menguntungkan aneh banget,2,negative
tolong min ini gimana ya semalam saya transfer uang ke e walet keterangan di line uang sudah berhasil di transfer dan saldo sudah berkurang tapi uang malah ga masuk ke e walet yg saya tuju tolong dong min ini nyangkut kemana uangnya🙏,1,negative
tolong kasih fitur qris bayarqris tampil supaya lebih praktis,4,positive
hallo ini gimana ya saya gak bisa login ke aku saya karna nomer sama email masih aktif tapi gak bisa masuk tolong,1,negative
klo mau pembayaran pake va pake linebank masih blm bisa semoga kedepannya udah setara kaya bank di indonesia ya 🙏🏻,3,neutral
line bank apk keren dan pengajuannya mudah dipahami dan gampang rekomendasi line bank untuk buka tabungan baru,5,positive
saya lupa kata sandi dan saya ingin mengubah sandi saya tapi pas mau verifikasi akun tidak bisa tertera disitu tidak dapat menemukan informasi anda udah mau bulan lebih akun saya tidak bisa ganti sandi,2,negative
sejauh ini suka banget udh make sekitar tahun suka karena byk reknya jadi tabungannya kepisah sesuai kebutuhan sangat memanajemen keuangan minesnya sih blm ada fitur qr tampil yg biasanya dipinta pas belanja di alfaindo tolong dong bikinin qr tampilnya🥹🥹🥹,4,positive
ini kok line bank tidak bisa dibuka ya alasannya koneksi kurang stabil giliran buka aplikasi bank lain lancar² saja sinyal saya g padahal ini sistemnya yang lagi bermasalah atau bagaimana ya mohon segera diperbaiki semua saldo ada di sana mau top up atau tf ke rekening lain gak bisa,2,negative
udah bikin id mau cek limit kredit keterangan nya tidak sesuai kriteria bank padahal blm masukin data pekerjaan ataupun gaji baru upload foto doang tapi langsung keluar keterangan tidak sesuai kriteria bank aneh mau liat fitur di aplikasi nya juga gak bisa yg nongol tampilan nya cuma buka tabungan sama cek limit kredit susah bener deh digunakan aplikasi ini maaf klo sy kasih bintang karna gak mudah digunakan dan gak membantu,1,negative
line bank ada masalah apa sih saya mau buka rekening dari seminggu yang lalu taoi ada aja kendalanya kendala pertama ketika saya mau ngisi informasi malah tibatiba keluar aplikasi kendala kedua ketika saya mau video call tibatiba ada pop up muncul koneksi sibuk coba lagi selama beberapa hari walaupun saya sudah coba hapus cache hapus data reinstall hasilnya tetap sama kendala yang pertama muncul kembali tolong benahi sistem saya yang mau buka rekening pun jadi males,1,negative
ribet banget bikin aplikasi yg bener dulu deh data saya jelas sudah sesuai tapi di klaim tidak sesuai selain itu ketika mencoba mengubah pin pada step masukkan nomor atau email yg terjadi informasi pengguna tidak ditemukan padahal jika saya menggunakan nomor dan email untuk di tahap login itu berhasil untuk mengirim otp,1,negative
saya akuin mbanking line ini udah bagus untuk menyaingi mbanking dari bank lain tapi ada sedikit keluh kesah dari saya untuk mbanking line bank ini yaitu tombol keyboard saat memasukkan pasword yang terlalu rumit jika dipakai keperluan transfer mendadak agak sedikit menghambat saran saya mohon untuk di buta mode keyboard yang biasa saja agar pengguna juga lebih nyaman simple dan mudah,5,positive
saya pernah sedang mengunakan bank digital lain dan line bank ini punya uiux simple dan cukup baik ditambah ada quota bebas tarik tunai disemua atm bersama gratis transfer x bln tanpa syarat ini kelebihan mutlak yang ada di line bank dibandingkan bank digital kompetitor 👑 selama pemakaian belum ada menemukan kendala 👍,5,positive
bagus banget buat layanan line bank ini transfer antar bank gratistarik tunai di semua atm gratis limit transaksinya gede lagi mana kartunya udah visakartunya lucu aman lagi nyimpennya dan yang lebih bagusnya lagi gak ada biaya admin per bulannya di bank lain mana ada yang begini semoga lancar terus ya dan semoga begini terus jangan mentang udah bagus dan rame yg pake ntar biaya nya jadi bayar jaya terus line bank 🥳,5,positive
haloo keb hana aku suka sekali fitur angka acak saat kita mau masukkan pin di transaksi karena menurut ku itu hal yg menjadi antisipasi sekiranya ada orang yg ngeliat pin atm kita cuma limit gratis transaksinya menurutku kurang banyak sih karena banyak org yg pakai tarik tunai gratis tanpa biaya admin jd kan sering kepake jg semisalnya ditambah itu bisa jd poin plus line bank buat ningkatin performanya aku jg suka sm kartunya lucu gambarnya dan kita bisa pilih gambar yg kita mau,5,positive
istimewanya line bank bagi saya adalah gratis biaya tarik tunai di atm bersama alto dan visa ketika fitur itu hilang saya kecewa maaf bintang kalo kebijakannya diubah jadi seperti dulu walau gratis transaksinya jadi gpp asal biaya tarik tunainya gratis saya akan mempertimbangkan untuk menyunting ulasan ini trims,1,negative
kepada developer aplikasi line bank ini sangat sangat fatal mohon di perhatikan masalah keyboard saat pengetikan sandi login saya beberapa kali kesulitan login karena masalah keyboard nya bahkan akun saya sempat terblokir tidak ada popup saat tombol di tekan tidak bisa melihat apa yang di ketik bahkan saat mau ganti sandi aja pas bagian konfirmasi sandi salah terus karena tidak bisa keliatan saat ada kesalahan pengetikan minimal ada tombol buat menampilkan sandi yang di ketik lah,2,negative
aplikasi haram pendana hana bank jangan coba ajukan limit udah pasti ditolak hanya ngumpulin database semoga cepat redup aplikasinya analis kreditnya sangat tidak kompeten melihat dari sisi mana penolakannya chat line lawak bener abis abisan promo facebook ads kta line bank ajukan limit ternyata penipuan bantu report dan kasih ulasan bintang,1,negative
keren sih semoga peningkatan semakin bagus,5,positive
saya rasa tim devops perlu pembenahan di aplikasi karena setelah minta diperbaharui apps justru mengalami banyak masalah harus register lagi fitur pengenalan ktp sepertinya menemui bug sehingga sangat lemot padahal saya sdh menerima kartu debit online dan akan register kartunya saya sdh hub call center namun tdk banyak membantu dan masih bermasalah apps nya mhn segera diperbaiki ya line bank sukses selalu,1,negative
bagus banget bisa tarik tunai dimana aja pembuatan rekening juga cepet gak ada biaya tambahan tiap bulan plus transfer kartu atm nya lucu agak lama pengirimannya kartu debitnya tapi gapapa tetep suka kok agak ribet buat setor tunai aja soalnya belum ada atm hana bank di daerah sini semoga kedepannya bisa dipermudah dengan bisa setor tunai di alfamart or indomaret aja,5,positive
biaya tarik tunai antar bank lain dikenakan biaya 😭 kecewa berat padahal saya ingin menabung meletakkan gaji di bank ini dan menarik uang saya dari rekening ini saya tidak perlu transaksi gratis hingga x coba pertimbangkan lagi misal bisa tarik uang dari atm lain x dalam sebulan atau x dalam sebulan lalu dikurangi gratis transaksi hanya x gak perlu x mungkin pindah bank bisa menjadi pertimbangan sih ini padahal saya senang banget menggunakan line bank selama bulan,1,negative
lumayan masih coba fiturfiturnya,4,positive
awal pakai line bank sekitar th bagus ga ada masalah fitur apknya mudah dimengerti bln terakhir ini aplikasi sering nge bug tiba putih layarnya gak bisa di pencet apa ataupun di logout yg paling parah top up saldonya sudah terpotong tapi belum masuk ke penerima bikin ribet karna harus ngurus ini itu semoga bisa di perbaiki biar kepercayaan org meningkat,1,negative
selama hampir tahun saya menggunakan line bank salah satu fitur istimewa nya adalah tarik tunai gratis di atm mana pun namun ketika fitur tsbt dihilangkan akan mengurangi kenyamanan dan kepuasan nasabah mohon di perbaiki limit transaksi bulanan sedikit tidak apa asalkan juga gratis tarik tunai di manapun 🙏🏻,1,negative
terima kasih kepada line bank by hana bankyg tlah mengantarkan kartu atm dgn bebas biayafreesmoga kedepanya senangkun majudan dpt diandalkan untuk segala urusan keuangan masukan dari sayaaplikasi line bank ini msh kurang dalam hal aksesintinya lama loadingnyamungkin kedepannya bisa diperbaikiagar transaksi menjadi lancarmungkin itu sajasebelum dan sesudahnyasaya ucapakan terima kasihsalam sukses,5,positive
semakin buruk aplikasi semakin berjalan lambat dalam loading data saya menggunakan smartphone google pixel padahal saya berniat ingin menjadikan rekening utama saya pada line bank tapi kualitas menurun ui pada struk pembelian seperti token listrik berantakan ketika angka token panjang tulisan malah ke bawah padahal ada space sedikit yang bisa digunakan agar sejajar dan tidak membuat bingung token tersebut,2,negative
aplikasinya sangat bagus saat pendaftaran tidak sulit baguslah line bank ini kedepannya mohon di tambahkan metode top up memakai ewallet dana ovo gopay link aja shopeepay fiturnya juga lumayan lengkap dan ditambah lagi pengajuan kyc tidak sulit saya berikan bintang line bank kedepannya terus tingkatkan aplikasinya agar kami oara konsumen bisa puas dengan pelayanan aplikasi milik kalian dan juga termasuk pelayanannya dari pihak line bank,5,positive
recommended sih sering ada promo tapi aplikasinya sering lola tolong perbaiki lagi agar aplikasinya tidak lambat kalau dibuka terus fitur tf gratis admin juga dibatasi x untuk pengiriman kartu cepet sih sampainya sementara bintang dulu kali sudah enteng aplikasi nya aku kasih bintang,4,positive
ga bisa dibuka apknya mana data diri udah dibuat lagi haduh,1,negative
sumpah suka banget sama line bank prosesnya cepet banget ga ada menit bahkan dalam satu akun aplikasi bisa buat rekening tanpa proses ribet ribet jadi bisa dipakai buat rekening nabung sm rekening belanja alhamdulillah juga kartu debitnya cepet banget dikirimnya cuma hari langsung sampai ga ada biaya apa apa eh malah dapet cashback rb pertahanin kualitasnya yaa line bank,5,positive
tidak ada solusi sedangkan kita mau bayar utang tapi lupa pin dan nomer lama sudah tidak aktif aplikasi busuk,1,negative
alasan saya pakai line bank itu karena tarik tunai gratis padahal tapi kenapa sekarang malah ada biaya kalau lihat ulasannya keluhan kami hampir sama semua saran saya mending kuota gratis tarik tunai dikurangi saja jangan dihilangkan mungkin bisa max x tarik tunai dalam sebulan karena x grstis transaksi tidak begitu berguna bagi saya,1,negative
sangat disayangkan fitur tarik tunai free admin di atm bersama udah ga ada padahal itu alasan saya beralih ke line bank kalo dikurangin limitnya masih ok sih tapi ini malah dihilangkan fiturnya aku akan download lagi kalo fiturnya di adakan kembali,1,negative
mau login aj susah mau ganti password saja ribet taiii,1,negative
menurut saya masih kurang dari segi aplikasi nya terlalu berat di install nya apalagi yang lainnya terutama pada saat login ribet sekali kedepannya di tingkatkan lagi kalau bisa loginnya memakai email dan pin saja jangan ditambah apapun lagi meribetkan soalnya untuk pengajuan kartu di tambahkan lagi sebanyak x kouta jika bisa di tambahkan menu lainnya seperti tarik tunai di minimarket begitu juga dengan top up nya sama demikian mungkin hanya itu sebagai pertimbangan kedepannya diatas,5,positive
tidak bisa login keterangan terjadi kendala teknis layanan sementara coba lagi nanti tapi berbulan seperti ini terus mana udah top up saldo sudah coba hapus cache update aplikasi restart hp tetep sama aja gak bisa login apk payah,1,negative
sistem terbodoh yang pernah cercipta rekening saya bersifat non aktif karna bulan gak saya gunakan untuk transaksi tapi ketika ditransfer uang tunai rekening menerima dana tersebut tapi rekening gak bisa melakukan penarikan coba login via aplikasi selalu ada tulisan temporary service error gimana cara aktifkan kartunya sedangkan aplikasi untuk mengaktifkanya saja gak bisa di akses aneh coba hubungi whatsapp cuma disuruh instal ulang aplikasi dan hapus cache gak jelas,1,negative
sangat tidak direkomendasikan bagi yang diluar pulau jawa yang berharap dapat debitnya gratis itu berbayar ya yang gratis itu cuma di pulau jawa doang dan untuk kartu debit seri bt nya udah lama di discontinue jadi gausah berharap dapat lagi satu lagi untuk proses penutupan rekening sangat berteletele dan harus dilakukan di kantor cabang gada opsi penutupan secara online mulai diberlakukan biaya penarikan tunai di atm bank lain mulai des jadi pikir lagi lah ya mau pakai bank ini,1,negative
jujur pengalaman terburuk kartu debitnya sering kejadian saldo terpotong transaksi gagal tapi dana tidak dikembalikan harus ada laporan dulu baru dana kembali dan itu sangatsangat ribet sekali bikin dan ngurus laporannya prosesnya juga lama bukan sekali dua kali tapi berkalikali begini terus problem lapor problem lapor problem lagi sistem jaringan debitnya benahi woyy atau minimal sediain pilihan sanggah transaksi per setiap transaksi yang tercatat supaya laporannya otomatis,1,negative
aplikasi terbaik topup semua gratis bagi yang minta ditambahkan topup tokopediashopee dll bisa digunakan menggunakan virtual account transfer nya jadi tidak perlu ditambahkan karena akan semakin berat aplikasi nya dan hanya ditambahkan pengamanan dan update berkala,5,positive
positifnya ga ada biaya admin gratis tf xbln terhubung visa negatifnya beberapa opsi di aplikasi lelet dlm loading tampilannya ga bisa nentuin nominal tf ke e wallet dan yang paling penting biaya tarik tunai terlalu mahal tolong lah ga perlu gratis tapi ya ga semahal itu juga,4,positive
kayanya line bank ini gak tau udah gak mau nasabah lagi atau nyari nasabah yang goodlooking ya soalnya dari tadi nyoba daftar waktu suruh ambil selfi gak bisa terus malah di suruh batalin pembuatan tabungan rekening kan lucu buat kalian mending cari aja bank lain yang masih mau nasabah sama gak pilih pilih nasabah line bank harus goodlooking soalnya sekian,1,negative
hampir tahun pakai line bank menurutku gak ada yang istimewa promo juga kadang gak bisa kepake kadang kalau gak berharap tau tau dapet cashback yang paling ngeselin adalah setiap selesai pake qris penjualnya selalu ngefoto kan mereka gak percaya dong sama tampilan line bank padahal kan udh ke tf alhasil harus tunggu lagi si penjual ngecek di akun mereka menurutku itu kekurangan yg aku rasain dr line bank mungkin bisa dibuat lebih trusted ada tulisan berhasil atau bagaimana gitu,4,positive
gratis transfer ke semua bank tiap bulan nggak ada pemotongan admin narik tunai di atm manapun juga nggak ada pemotongan malah tiap bulan dapet cashback ditambah kartu debitnya gemoyyyy saran untuk pengisian pulsaewallet tolong biar bisa kami ketik sendiri karena kadang jumlahnya nggak sesuai,5,positive
sejauh ini sebenernya enak pakai linebank tp saya termasuk masih baru karena baru pakai beberapa hari kekurangan nya lumayan banyak buat linebank ini jika dibandingkan dengan bank digital lain nya salah satunya dibagian password untuk login linebank keyboard nya sangat sangat berantakan sekali tolong ya linebank diperbaiki kelejekan nya itu keyboard pin transaksi juga tidak kelihatan angka nya hijau semua beberapa kali saya coba masukan pin ada salah karena keyboard nya yang sangat jelek,1,negative
dulu aku banggain line bank ke temen temen buat coba karena banyak cashback udah gitu transfer kemanapun gratis tarik tunai di atm mana pun gratis semenjak ada biaya tarik tunai ada biaya admin yang cukup mahal dibanding bank bank gede yang ada di indonesia aku sedikit kecewa banget jadi mikir ulang buat stay mending pindah lagi ke bank gede aja sekalian,1,negative
awal daftar semua data sy masukan dan sudah sesuai langsung berhasilakan tetapi disaat login lha koq suruh daftar lagi setelah sy coba daftar lagi malah tidak bisaini aplikasi apaan kalau tidak bisa digunakan janganjangan cuma ambil data saja kecewa,1,negative
pemakaian trnsaksi yg simple sangat bermanfaat bagi saya dn keluarga trimakasih line bank by hana mungkin aktivasi atm nya bisa lebih ditingkatkan dan dipercepat lagi karena pengalaman saya saat aktivasi memakan waktu hari setelah debit card saya terima dan juga reward pembukaan akun baru di isikan di batas tanggal reward berakhir,5,positive
aku pakai line bank alasanya karena kartunya lucu bisa tarik tunai gratis disemua atm bersama tapi kaget pas kemarin tarik tunai ada biayanya k kok bisa apa ada kebijakan baru mana sekarang kartu atmnya suka error lagi🫠 terimakasih sudah menemani ku th ini kayaknya aku pindah bank lain dlu soalnya nggak kepake lagi kalo tarik tunainya dh bayar,2,negative
mau login susah kalau hapus cache harus masukkan lg identitas sudah masukin malah akun terkunci maksudnya gimana ini kalau gak ada uangnya gpp terkunci,2,negative
the best oke untuk saat ini tolong kedepan nya tahun atau selama nya jangan pernah berubah cara kerja sistem dan dll jngan kaya lain giliran udh banyak yg pake sistem semua berubah ga ada yg gratis pisan tolong ya pertahankan,5,positive
bener sih setuju banget kata orang semenjak sudah tidak gratis tarik tunai line bank jadi gak ke pakai karena itulah salah satu kebanyakan orang pilih line bank selain kartu nya bagus menurut saya setidak nya kasih lagi kuota gratis tarik tunai nya walau pun atau kali dalam sebulan karena pasti banyak nasabah line bank yang ninggalin line bank karena sudah tidak bisa gratis tarik tunai di atm bank lain lagi mohon untuk di pertimbangkan untuk kenyamanan nasabah nya,3,neutral
pembohong bgt ini aplikasi mbanking anehhh masa ga dpt rb janji nya doang apalgi cs nya haduhhh ga banget pelayanan nya melalui tlp tolong yg jujur yaaa,1,negative
saya ingin berinvestasi reksadana di line bank tapi belum punya npwp aplikasi bibit saja tidak pakai npwp,5,positive
gajelas awal daftar gagal terusan tidak tau menau kalau suatu hari ada tagihan atau apapun juga,1,negative
ganti password gapernah bisa keterangan aktivitas gawajar trus bank apaansi,1,negative
astagfirullah kartu mau expired aja susah banget ganti kartu req oertama tidak terkirim katanya ga kenal emg ga bisa huh penerima rugi k cetaknkartu karna ga balik lagi duit nya yg kedua oaket di terima terus terusan suruh aktivasi di terima aja belum itu yg ngirim ngiriman nya kemana kok bisa cara kerja nya giniii merugikan req kartu itu bayar loh complain sana sini gabisa harus ok telpon di telpin harus ngantri ngabisin pulsa gils alamat jls dng no rmh,1,negative
tolong buatkan fitu qris bayar untuk payment di minimart karna memerlukan qr bayar dari pembayar,3,neutral
baru kali ini apk line bank error dan tidak bisa bayar tagihan token pln malah saldo utk kepotong tapi status transaksi tagihan pln nya keterangan sistem kami sedang sibuk silahkan coba lagi udh dilakukan tetap saldo nggak balek tolong dibntu admin,1,negative
setelah sekian lama saya memakai line bank dengan debitnya hari ini saat mencoba tarik tunai dengan debit line bank selalu gagal ah mungkin atm nya bermasalah namun setelah berpindah lebih dari atm ternyata tetap gagal oalah ini yg bermasalah dari kartu debit line bank nya namun di aplikasi line bank tidak ada notifikasi sedang gangguan atau apapun itu,1,negative
bank aneh awal awal makai bagus tapi sejak pertengahan lognnya di persulit data saya di anggap tidak ada padahal sudah benar mamasukkan data saat verif data awal kecewa berat☠️ sampai sekarang saya g bisa masuk akun bank saya sejak bulan agus pulsa juga dah habis k di suruh sabar dan ulangi lagi loginnya oleh csnya lawak,1,negative
saya kecewa dengan pelayanan line bank yang lambat saya sudah melakukan telepon dengan cs line bank untuk laporan perihal x transaksi yang gagal dan x transaksi yang double karena uang saya hilang hampir malah yang di laporkan hanya transaksi saja yang di cek padahal saya sudah bilang ada transaksi saya sampai buat x laporan lewat telpon dan x laporan lewat email dan semuanya gak ada yang di proses harusnya dibantu diprioritaskan malah cs nya cuek pelayanan terburuk,1,negative
mudah praktis cepat kadang ketika mau melakukan transaksi masih suka lama loading masuk ke pagenya tapi overall good experience and good services selalu dilayani dengan sigap dan cepat saldo bonus pembukaan rekening masuk tepat waktu dan benar bagus jadi tempat untuk melakukan transaksi tertentu semoga terus berkembang,5,positive
